Ticker,3/31/2015 to 3/31/2022,6/30/2015 to 6/30/2022,9/30/2015 to 9/30/2022,12/31/2015 to 12/31/2022,3/31/2016 to 3/31/2023,6/30/2016 to 6/30/2023,6/30/2023 to 9/30/2023,9/30/2016 to 9/30/2023,12/31/2016 to 12/31/2023,3/31/2017 to 3/31/2024,4/1/2017 to 4/1/2024,4/1/2018 to 4/1/2024,4/1/2019 to 4/1/2024
BKKT,285.84,134.1,82.47,78.29,123.27,122.19,,72.95,112.59,133.91,133.91,133.91,133.91
FRGE,94.4,207.63,188.02,119.59,46.32,79.16,,91.7,79.85,94.34,94.34,94.34,94.34
VIRT,33.19,41.44,36.15,29.44,32.03,38.51,,28.11,22.69,30.35,30.35,30.35,30.35
HOOD,72.15,73.81,62.01,64.18,56.57,43.77,,43.41,62.19,63.82,63.82,63.82,63.82
COIN,59.1,91.57,134.31,110.43,121.7,117.92,,81.83,76.07,82.14,82.14,82.14,82.14
TW,29.37,38.82,38.4,29.3,32.15,32.66,,26.3,26.95,20.04,20.04,20.04,20.04
MKTX,35.18,39.94,30.98,44.2,48.34,39.48,,27.14,41.44,44.52,44.52,44.52,44.52
AMG,36.15,39.1,35.65,44.44,44.74,27.97,,29.69,32.49,18.59,18.59,18.59,18.59
APO,33.73,38.38,43.93,42.24,47.55,44.42,,26.27,24.13,21.58,21.58,21.58,21.58
ARES,36.42,51.72,52.9,47.96,44.94,34.25,,22.48,21.2,22.31,22.31,22.31,22.31
BX,44.51,53.88,51.73,53.44,55.66,38.65,,30.56,41.58,37.43,37.43,37.43,37.43
OWL,31.69,47.12,53.53,61.47,63.84,44.87,,30.08,29.25,27.13,27.13,27.13,27.13
BPT.L,49.55,57.55,62.1,65.86,59.88,49.22,,34.55,38.63,36.74,36.74,36.74,36.74
CG,35.32,43.21,45.56,44.03,41.4,40.75,,38.78,39.93,31.59,31.59,31.59,31.59
EQT.ST,55.98,61.53,57.95,55.81,55.15,43.69,,35.34,43.91,38.93,38.93,38.93,38.93
HLNE,34.83,34.53,38.45,43.0,45.35,43.08,,29.77,30.19,32.95,32.95,32.95,32.95
KKR,43.93,45.9,44.08,43.43,41.14,36.83,,27.21,34.76,32.91,32.91,32.91,32.91
EMG.L,38.15,36.57,33.47,30.19,46.48,49.04,,26.17,27.18,21.43,21.43,21.43,21.43
PGHN.SW,38.16,38.57,41.28,45.56,41.21,31.23,,32.09,31.64,22.48,22.48,22.48,22.48
PHLL.L,49.59,53.85,40.29,26.63,25.37,34.53,,35.58,29.5,21.27,21.27,21.27,21.27
SCU,,,,,,,,,,,,,
STEP,47.24,37.71,43.56,50.47,51.26,45.32,,32.06,34.57,31.44,31.44,31.44,31.44
TPG,,,46.63,63.05,65.18,45.12,,36.24,40.16,38.36,38.36,38.36,38.36
